,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
0,7317,15637411,Tochukwu,749.0,France,Male,30.0,1,0.0,2,0,0,126551.65,1
1,11125,15745307,Martin,683.0,Germany,Male,32.0,7,121887.91,1,1,1,176570.46,0
2,45720,15677382,Aitken,711.0,Spain,Female,33.0,5,0.0,2,1,0,162703.8,0
3,74042,15694450,Tuan,722.0,France,Female,28.0,4,0.0,2,1,1,76615.31,0
4,109985,15734987,Aitken,754.0,France,Female,67.0,3,0.0,2,1,1,114514.92,0
5,115284,15798024,Calabresi,543.0,France,Male,34.0,6,0.0,2,1,1,70810.8,0
6,132129,15658852,Li,705.0,France,Female,46.0,3,0.0,1,1,0,119484.01,1
7,56917,15667085,Meng,667.0,France,Male,42.0,4,0.0,1,1,0,131834.75,1
8,40178,15581295,Lane,728.0,Germany,Male,32.0,6,120911.75,2,1,1,131249.46,1
9,119934,15600997,Oluchukwu,581.0,Spain,Male,28.0,2,0.0,2,1,1,133814.28,0
10,11487,15642345,Teng,699.0,France,Male,32.0,9,121207.17,1,1,1,187915.85,0
11,100697,15783501,L?,628.0,France,Male,40.0,2,0.0,1,1,0,75832.4,1
12,37231,15791769,T'ien,580.0,France,Male,39.0,8,0.0,2,1,1,182336.45,0
13,161087,15701166,Chinedum,660.0,France,Male,40.0,5,131754.11,2,1,0,38761.61,0
14,105063,15723856,Bruno,743.0,Spain,Female,33.0,7,0.0,1,0,1,98820.09,0
15,94686,15583857,Siciliano,700.0,France,Male,31.0,2,0.0,2,1,0,162668.33,0
16,147036,15743470,Chia,613.0,Germany,Female,42.0,8,121525.57,1,1,0,176692.77,0
17,82774,15763579,Ts'ui,669.0,France,Female,41.0,0,0.0,2,1,0,86410.28,1
18,139260,15757895,Nwachukwu,767.0,France,Male,37.0,9,0.0,2,1,0,170526.72,0
19,110966,15803976,Efremov,694.0,France,Female,31.0,10,0.0,1,1,0,160990.27,0
20,36242,15592386,Kuykendall,590.0,Spain,Male,45.0,5,0.0,2,1,1,130824.57,0
21,63692,15604816,Okwuadigbo,642.0,Spain,Male,22.0,2,84006.27,1,1,1,183868.27,0
22,73931,15594436,Chiang,687.0,Germany,Female,43.0,6,166501.17,1,1,0,124795.84,1
23,14244,15781298,Chin,653.0,Germany,Male,42.0,0,69518.95,2,0,1,121151.1,0
24,126145,15810995,Chukwueloka,682.0,Germany,Male,44.0,5,105511.69,1,1,0,97938.4,1
25,4153,15699772,Fanucci,663.0,Germany,Male,39.0,1,132730.17,1,1,0,109394.62,0
26,44800,15602979,Hs?,592.0,France,Male,36.0,5,0.0,2,0,1,187985.85,0
27,157960,15741652,McLean,600.0,Spain,Male,37.0,10,0.0,2,1,1,77142.85,0
28,21730,15583748,Nwabugwu,582.0,France,Female,27.0,2,0.0,2,1,0,116971.05,0
29,115587,15599552,Conway,639.0,Spain,Female,28.0,2,0.0,2,1,1,53843.71,0
30,161978,15591035,Obiajulu,634.0,Spain,Female,37.0,1,0.0,2,1,1,101617.43,0
31,2184,15648876,Ozerova,629.0,France,Female,47.0,8,0.0,1,1,0,64448.36,1
32,144092,15809800,Pisani,597.0,Germany,Female,41.0,9,104889.1,2,1,1,132398.41,0
33,69129,15722037,Ku,723.0,Germany,Male,49.0,5,106506.77,4,1,0,118045.98,1
34,96871,15811842,Ch'iu,684.0,Germany,Female,54.0,8,88915.85,1,0,0,143859.66,1
35,62250,15791326,Onyemere,623.0,France,Female,33.0,6,0.0,2,1,1,88783.59,0
36,42380,15779985,Kincaid,577.0,France,Male,35.0,3,61688.61,1,0,0,182612.38,0
37,17022,15730688,Y?,666.0,France,Male,34.0,4,0.0,2,0,0,61820.41,0
38,151043,15705512,Ndubueze,774.0,Spain,Male,24.0,6,0.0,2,1,0,129697.99,0
39,1070,15765048,Lin,794.0,France,Male,41.0,3,176845.41,1,1,0,166526.26,1
40,112131,15648638,Chia,629.0,Spain,Male,81.0,6,0.0,2,1,1,190347.72,0
41,16343,15797204,Fanucci,655.0,Spain,Female,28.0,6,113811.85,2,1,1,76844.23,0
42,98363,15759966,Teng,505.0,Germany,Male,52.0,2,131355.3,1,0,0,44265.28,1
43,146102,15804787,Onyemauchechukwu,562.0,France,Female,51.0,2,87140.85,1,0,1,39351.64,1
44,140180,15733581,Trevisan,486.0,Spain,Female,31.0,8,0.0,2,1,1,130567.02,0
45,63857,15637118,Burns,684.0,France,Male,33.0,4,140700.61,1,1,1,103557.93,0
46,59879,15624893,Chinedum,716.0,France,Female,71.0,3,152677.15,1,1,1,106977.5,0
47,62424,15799384,P'eng,639.0,Germany,Female,46.0,2,166501.17,2,1,1,133831.37,0
48,122733,15737521,Nwora,576.0,Spain,Male,34.0,1,95553.97,1,0,1,124071.58,0
49,106266,15671334,Nixon,527.0,France,Male,31.0,8,0.0,1,0,1,169361.89,0
50,46641,15701605,Fomin,645.0,France,Male,44.0,8,0.0,1,1,1,136506.86,0
51,94447,15667934,Hs?,696.0,France,Male,26.0,4,102773.2,2,1,1,59129.72,0
52,139701,15800366,Walton,719.0,France,Male,35.0,5,0.0,1,1,1,94823.95,0
53,123825,15690933,Kao,684.0,France,Female,32.0,1,0.0,2,1,1,146700.96,0
